Index	Plate	Plate ID	Row	Column	Compound A	Conc. A [uM]	Compound B	Conc. B [uM]	Well Type	Masked	Well Tags	Timestamp	Raw	Normalized
1	1	ETECS02 HL60_1	A	1	SW196654-6	50	SW196654-6	50	Compound			2020-01-07 01:57:00	43760	-96.52522
2	1	ETECS02 HL60_1	A	2	SW196654-6	5	SW196654-6	50	Compound			2020-01-07 01:57:00	149200	-88.15272
3	1	ETECS02 HL60_1	A	3	SW196654-6	0.5	SW196654-6	50	Compound			2020-01-07 01:57:00	159800	-87.31102
4	1	ETECS02 HL60_1	A	4	SW196654-6	0.05	SW196654-6	50	Compound			2020-01-07 01:57:00	173760	-86.20251
5	1	ETECS02 HL60_1	A	5	SW196654-6	0.005	SW196654-6	50	Compound			2020-01-07 01:57:00	184160	-85.3767
6	1	ETECS02 HL60_1	A	6	SW196654-6	0.0005	SW196654-6	50	Compound			2020-01-07 01:57:00	173320	-86.23746
7	1	ETECS02 HL60_1	A	7	SW196654-6	5.000000E-5	SW196654-6	50	Compound			2020-01-07 01:57:00	167040	-86.73612
8	1	ETECS02 HL60_1	A	8	SW196654-6	0	SW196654-6	50	Compound			2020-01-07 01:57:00	173400	-86.2311
9	1	ETECS02 HL60_1	A	9	SW196654-6	50	SW197516-3	0.005	Compound			2020-01-07 01:57:00	135640	-89.22945
10	1	ETECS02 HL60_1	A	10	SW196654-6	5	SW197516-3	0.005	Compound			2020-01-07 01:57:00	62720	-95.01969
11	1	ETECS02 HL60_1	A	11	SW196654-6	0.5	SW197516-3	0.005	Compound			2020-01-07 01:57:00	70680	-94.38763
12	1	ETECS02 HL60_1	A	12	SW196654-6	0.05	SW197516-3	0.005	Compound			2020-01-07 01:57:00	82560	-93.44429
13	1	ETECS02 HL60_1	A	13	SW196654-6	0.005	SW197516-3	0.005	Compound			2020-01-07 01:57:00	79360	-93.69839
14	1	ETECS02 HL60_1	A	14	SW196654-6	0.0005	SW197516-3	0.005	Compound			2020-01-07 01:57:00	75720	-93.98743
15	1	ETECS02 HL60_1	A	15	SW196654-6	5.000000E-5	SW197516-3	0.005	Compound			2020-01-07 01:57:00	82200	-93.47288
16	1	ETECS02 HL60_1	A	16	SW196654-6	0	SW197516-3	0.005	Compound			2020-01-07 01:57:00	81680	-93.51417
17	1	ETECS02 HL60_1	A	17	SW196654-6	50	SW198953-3	0.2	Compound			2020-01-07 01:57:00	5200	-99.5871
18	1	ETECS02 HL60_1	A	18	SW196654-6	5	SW198953-3	0.2	Compound			2020-01-07 01:57:00	7920	-99.37111
19	1	ETECS02 HL60_1	A	19	SW196654-6	0.5	SW198953-3	0.2	Compound			2020-01-07 01:57:00	13000	-98.96774
20	1	ETECS02 HL60_1	A	20	SW196654-6	0.05	SW198953-3	0.2	Compound			2020-01-07 01:57:00	14920	-98.81528
21	1	ETECS02 HL60_1	A	21	SW196654-6	0.005	SW198953-3	0.2	Compound			2020-01-07 01:57:00	18760	-98.51035
22	1	ETECS02 HL60_1	A	22	SW196654-6	0.0005	SW198953-3	0.2	Compound			2020-01-07 01:57:00	18200	-98.55482
23	1	ETECS02 HL60_1	A	23	SW196654-6	5.000000E-5	SW198953-3	0.2	Compound			2020-01-07 01:57:00	15680	-98.75493
24	1	ETECS02 HL60_1	A	24	SW196654-6	0	SW198953-3	0.2	Compound			2020-01-07 01:57:00	3680	-99.70779
25	1	ETECS02 HL60_1	B	1	SW196654-6	50	SW196654-6	5	Compound			2020-01-07 01:57:00	164520	-86.93623
26	1	ETECS02 HL60_1	B	2	SW196654-6	5	SW196654-6	5	Compound			2020-01-07 01:57:00	229840	-81.74946
27	1	ETECS02 HL60_1	B	3	SW196654-6	0.5	SW196654-6	5	Compound			2020-01-07 01:57:00	239920	-80.94906
28	1	ETECS02 HL60_1	B	4	SW196654-6	0.05	SW196654-6	5	Compound			2020-01-07 01:57:00	265520	-78.91628
29	1	ETECS02 HL60_1	B	5	SW196654-6	0.005	SW196654-6	5	Compound			2020-01-07 01:57:00	277760	-77.94435
30	1	ETECS02 HL60_1	B	6	SW196654-6	0.0005	SW196654-6	5	Compound			2020-01-07 01:57:00	282240	-77.58862
31	1	ETECS02 HL60_1	B	7	SW196654-6	5.000000E-5	SW196654-6	5	Compound			2020-01-07 01:57:00	274720	-78.18575
32	1	ETECS02 HL60_1	B	8	SW196654-6	0	SW196654-6	5	Compound			2020-01-07 01:57:00	290160	-76.95972
33	1	ETECS02 HL60_1	B	9	SW196654-6	50	SW197516-3	0.003333333	Compound			2020-01-07 01:57:00	182640	-85.4974
34	1	ETECS02 HL60_1	B	10	SW196654-6	5	SW197516-3	0.003333333	Compound			2020-01-07 01:57:00	109480	-91.30669
35	1	ETECS02 HL60_1	B	11	SW196654-6	0.5	SW197516-3	0.003333333	Compound			2020-01-07 01:57:00	143760	-88.58468
36	1	ETECS02 HL60_1	B	12	SW196654-6	0.05	SW197516-3	0.003333333	Compound			2020-01-07 01:57:00	154320	-87.74616
37	1	ETECS02 HL60_1	B	13	SW196654-6	0.005	SW197516-3	0.003333333	Compound			2020-01-07 01:57:00	165760	-86.83776
38	1	ETECS02 HL60_1	B	14	SW196654-6	0.0005	SW197516-3	0.003333333	Compound			2020-01-07 01:57:00	164880	-86.90764
39	1	ETECS02 HL60_1	B	15	SW196654-6	5.000000E-5	SW197516-3	0.003333333	Compound			2020-01-07 01:57:00	158920	-87.3809
40	1	ETECS02 HL60_1	B	16	SW196654-6	0	SW197516-3	0.003333333	Compound			2020-01-07 01:57:00	227600	-81.92733
41	1	ETECS02 HL60_1	B	17	SW196654-6	50	SW198953-3	0.1	Compound			2020-01-07 01:57:00	16400	-98.69775
42	1	ETECS02 HL60_1	B	18	SW196654-6	5	SW198953-3	0.1	Compound			2020-01-07 01:57:00	20920	-98.33884
43	1	ETECS02 HL60_1	B	19	SW196654-6	0.5	SW198953-3	0.1	Compound			2020-01-07 01:57:00	32880	-97.38915
44	1	ETECS02 HL60_1	B	20	SW196654-6	0.05	SW198953-3	0.1	Compound			2020-01-07 01:57:00	41440	-96.70944
45	1	ETECS02 HL60_1	B	21	SW196654-6	0.005	SW198953-3	0.1	Compound			2020-01-07 01:57:00	44360	-96.47758
46	1	ETECS02 HL60_1	B	22	SW196654-6	0.0005	SW198953-3	0.1	Compound			2020-01-07 01:57:00	41120	-96.73485
47	1	ETECS02 HL60_1	B	23	SW196654-6	5.000000E-5	SW198953-3	0.1	Compound			2020-01-07 01:57:00	40160	-96.81108
48	1	ETECS02 HL60_1	B	24	SW196654-6	0	SW198953-3	0.1	Compound			2020-01-07 01:57:00	19720	-98.43413
49	1	ETECS02 HL60_1	C	1	SW196654-6	50	SW196654-6	0.5	Compound			2020-01-07 01:57:00	201040	-84.03634
50	1	ETECS02 HL60_1	C	2	SW196654-6	5	SW196654-6	0.5	Compound			2020-01-07 01:57:00	276240	-78.06505
51	1	ETECS02 HL60_1	C	3	SW196654-6	0.5	SW196654-6	0.5	Compound			2020-01-07 01:57:00	346480	-72.48762
52	1	ETECS02 HL60_1	C	4	SW196654-6	0.05	SW196654-6	0.5	Compound			2020-01-07 01:57:00	383080	-69.58138
53	1	ETECS02 HL60_1	C	5	SW196654-6	0.005	SW196654-6	0.5	Compound			2020-01-07 01:57:00	404360	-67.89163
54	1	ETECS02 HL60_1	C	6	SW196654-6	0.0005	SW196654-6	0.5	Compound			2020-01-07 01:57:00	420000	-66.64973
55	1	ETECS02 HL60_1	C	7	SW196654-6	5.000000E-5	SW196654-6	0.5	Compound			2020-01-07 01:57:00	431960	-65.70004
56	1	ETECS02 HL60_1	C	8	SW196654-6	0	SW196654-6	0.5	Compound			2020-01-07 01:57:00	446320	-64.55978
57	1	ETECS02 HL60_1	C	9	SW196654-6	50	SW197516-3	0.002222222	Compound			2020-01-07 01:57:00	203840	-83.814
58	1	ETECS02 HL60_1	C	10	SW196654-6	5	SW197516-3	0.002222222	Compound			2020-01-07 01:57:00	159840	-87.30784
59	1	ETECS02 HL60_1	C	11	SW196654-6	0.5	SW197516-3	0.002222222	Compound			2020-01-07 01:57:00	202280	-83.93787
60	1	ETECS02 HL60_1	C	12	SW196654-6	0.05	SW197516-3	0.002222222	Compound			2020-01-07 01:57:00	248280	-80.28522
61	1	ETECS02 HL60_1	C	13	SW196654-6	0.005	SW197516-3	0.002222222	Compound			2020-01-07 01:57:00	268800	-78.65583
62	1	ETECS02 HL60_1	C	14	SW196654-6	0.0005	SW197516-3	0.002222222	Compound			2020-01-07 01:57:00	280120	-77.75696
63	1	ETECS02 HL60_1	C	15	SW196654-6	5.000000E-5	SW197516-3	0.002222222	Compound			2020-01-07 01:57:00	274560	-78.19845
64	1	ETECS02 HL60_1	C	16	SW196654-6	0	SW197516-3	0.002222222	Compound			2020-01-07 01:57:00	507200	-59.72557
65	1	ETECS02 HL60_1	C	17	SW196654-6	50	SW198953-3	0.05	Compound			2020-01-07 01:57:00	44760	-96.44582
66	1	ETECS02 HL60_1	C	18	SW196654-6	5	SW198953-3	0.05	Compound			2020-01-07 01:57:00	36800	-97.07788
67	1	ETECS02 HL60_1	C	19	SW196654-6	0.5	SW198953-3	0.05	Compound			2020-01-07 01:57:00	51200	-95.93445
