Index	Plate	Plate ID	Row	Column	Compound A	Conc. A [uM]	Compound B	Conc. B [uM]	Well Type	Masked	Well Tags	Raw	Normalized
1	1	ETECS02 IDH2_1	A	1	SW197746-5	0.5	SW197746-5	0.5	Compound			411480	-74.05163
2	1	ETECS02 IDH2_1	A	2	SW197746-5	0.2777778	SW197746-5	0.5	Compound			466760	-70.32816
3	1	ETECS02 IDH2_1	A	3	SW197746-5	0.154321	SW197746-5	0.5	Compound			402440	-74.66053
4	1	ETECS02 IDH2_1	A	4	SW197746-5	0.08573388	SW197746-5	0.5	Compound			434640	-72.49165
5	1	ETECS02 IDH2_1	A	5	SW197746-5	0.04762993	SW197746-5	0.5	Compound			469200	-70.16381
6	1	ETECS02 IDH2_1	A	6	SW197746-5	0.02646107	SW197746-5	0.5	Compound			490360	-68.73856
7	1	ETECS02 IDH2_1	A	7	SW197746-5	0.0147006	SW197746-5	0.5	Compound			440680	-72.08482
8	1	ETECS02 IDH2_1	A	8	SW197746-5	0	SW197746-5	0.5	Compound			484280	-69.14808
9	1	ETECS02 IDH2_1	A	9	SW337295-1	50	SW337295-1	50	Compound			56760	-97.94429
10	1	ETECS02 IDH2_1	A	10	SW337295-1	20	SW337295-1	50	Compound			122200	-93.53648
11	1	ETECS02 IDH2_1	A	11	SW337295-1	8	SW337295-1	50	Compound			124320	-93.39369
12	1	ETECS02 IDH2_1	A	12	SW337295-1	3.2	SW337295-1	50	Compound			129040	-93.07577
13	1	ETECS02 IDH2_1	A	13	SW337295-1	1.28	SW337295-1	50	Compound			127760	-93.16198
14	1	ETECS02 IDH2_1	A	14	SW337295-1	0.512	SW337295-1	50	Compound			144800	-92.01423
15	1	ETECS02 IDH2_1	A	15	SW337295-1	0.2048	SW337295-1	50	Compound			165840	-90.59705
16	1	ETECS02 IDH2_1	A	16	SW337295-1	0	SW337295-1	50	Compound			144960	-92.00346
17	1	ETECS02 IDH2_1	A	17	SW198601-4	1	SW198601-4	1	Compound			1558280	3.192693
18	1	ETECS02 IDH2_1	A	18	SW198601-4	0.25	SW198601-4	1	Compound			1333720	-11.93286
19	1	ETECS02 IDH2_1	A	19	SW198601-4	0.0625	SW198601-4	1	Compound			1385440	-8.449186
20	1	ETECS02 IDH2_1	A	20	SW198601-4	0.015625	SW198601-4	1	Compound			1356280	-10.4133
21	1	ETECS02 IDH2_1	A	21	SW198601-4	0.00390625	SW198601-4	1	Compound			1353240	-10.61806
22	1	ETECS02 IDH2_1	A	22	SW198601-4	0.000976563	SW198601-4	1	Compound			1471960	-2.621511
23	1	ETECS02 IDH2_1	A	23	SW198601-4	0.000244141	SW198601-4	1	Compound			1424760	-5.800733
24	1	ETECS02 IDH2_1	A	24	SW198601-4	0	SW198601-4	1	Compound			1266080	-16.48885
25	1	ETECS02 IDH2_1	B	1	SW197746-5	0.5	SW197746-5	0.2777778	Compound			447080	-71.65374
26	1	ETECS02 IDH2_1	B	2	SW197746-5	0.2777778	SW197746-5	0.2777778	Compound			462080	-70.64339
27	1	ETECS02 IDH2_1	B	3	SW197746-5	0.154321	SW197746-5	0.2777778	Compound			507320	-67.59619
28	1	ETECS02 IDH2_1	B	4	SW197746-5	0.08573388	SW197746-5	0.2777778	Compound			497080	-68.28592
29	1	ETECS02 IDH2_1	B	5	SW197746-5	0.04762993	SW197746-5	0.2777778	Compound			531960	-65.93652
30	1	ETECS02 IDH2_1	B	6	SW197746-5	0.02646107	SW197746-5	0.2777778	Compound			540880	-65.33571
31	1	ETECS02 IDH2_1	B	7	SW197746-5	0.0147006	SW197746-5	0.2777778	Compound			560080	-64.04247
32	1	ETECS02 IDH2_1	B	8	SW197746-5	0	SW197746-5	0.2777778	Compound			568880	-63.44973
33	1	ETECS02 IDH2_1	B	9	SW337295-1	50	SW337295-1	20	Compound			121160	-93.60654
34	1	ETECS02 IDH2_1	B	10	SW337295-1	20	SW337295-1	20	Compound			222680	-86.76852
35	1	ETECS02 IDH2_1	B	11	SW337295-1	8	SW337295-1	20	Compound			256400	-84.49725
36	1	ETECS02 IDH2_1	B	12	SW337295-1	3.2	SW337295-1	20	Compound			285960	-82.5062
37	1	ETECS02 IDH2_1	B	13	SW337295-1	1.28	SW337295-1	20	Compound			290920	-82.17211
38	1	ETECS02 IDH2_1	B	14	SW337295-1	0.512	SW337295-1	20	Compound			286840	-82.44693
39	1	ETECS02 IDH2_1	B	15	SW337295-1	0.2048	SW337295-1	20	Compound			316960	-80.41815
40	1	ETECS02 IDH2_1	B	16	SW337295-1	0	SW337295-1	20	Compound			300000	-81.56052
41	1	ETECS02 IDH2_1	B	17	SW198601-4	1	SW198601-4	0.25	Compound			1909040	26.81862
