Index	Plate	Plate ID	Row	Column	Compound A	Conc. A [uM]	Compound B	Conc. B [uM]	Well Type	Masked	Well Tags	Timestamp	Raw	Normalized
1	1	ETECS02 K562_1	A	1	SW196654-6	50	SW196654-6	50	Compound			11.02.2020 03:38:00	55400	-104.1465
2	1	ETECS02 K562_1	A	2	SW196654-6	38.46154	SW196654-6	50	Compound			11.02.2020 03:38:00	505600	-94.66573
3	1	ETECS02 K562_1	A	3	SW196654-6	29.5858	SW196654-6	50	Compound			11.02.2020 03:38:00	955920	-85.18239
4	1	ETECS02 K562_1	A	4	SW196654-6	22.75831	SW196654-6	50	Compound			11.02.2020 03:38:00	1262280	-78.73073
5	1	ETECS02 K562_1	A	5	SW196654-6	17.50639	SW196654-6	50	Compound			11.02.2020 03:38:00	1420240	-75.40423
6	1	ETECS02 K562_1	A	6	SW196654-6	13.46645	SW196654-6	50	Compound			11.02.2020 03:38:00	1653520	-70.49156
7	1	ETECS02 K562_1	A	7	SW196654-6	1.04E+01	SW196654-6	50	Compound			11.02.2020 03:38:00	1673120	-70.0788
8	1	ETECS02 K562_1	A	8	SW196654-6	0	SW196654-6	50	Compound			11.02.2020 03:38:00	1999920	-63.19669
9	1	ETECS02 K562_1	A	9	SW196654-6	50	SW197516-3	0.1	Compound			11.02.2020 03:38:00	1106720	-82.00668
10	1	ETECS02 K562_1	A	10	SW196654-6	38.46154	SW197516-3	0.1	Compound			11.02.2020 03:38:00	1135120	-81.4086
11	1	ETECS02 K562_1	A	11	SW196654-6	29.5858	SW197516-3	0.1	Compound			11.02.2020 03:38:00	997200	-84.31307
12	1	ETECS02 K562_1	A	12	SW196654-6	22.75831	SW197516-3	0.1	Compound			11.02.2020 03:38:00	775800	-88.97556
13	1	ETECS02 K562_1	A	13	SW196654-6	17.50639	SW197516-3	0.1	Compound			11.02.2020 03:38:00	612760	-92.40903
14	1	ETECS02 K562_1	A	14	SW196654-6	13.46645	SW197516-3	0.1	Compound			11.02.2020 03:38:00	487640	-95.04395
