Index	Plate	Plate ID	Row	Column	Compound A	Conc. A [uM]	Compound B	Conc. B [uM]	Well Type	Masked	Well Tags	Timestamp	Raw	Normalized
1	1	ETECS02 TF1_11	A	1	SW218076-3	40	SW199090-3	30	Compound			07.12.2020 01:01:34	596960	-74.20559
2	1	ETECS02 TF1_11	A	2	SW218076-3	17.3913	SW199090-3	30	Compound			07.12.2020 01:01:34	650600	-71.88783
3	1	ETECS02 TF1_11	A	3	SW218076-3	7.561437	SW199090-3	30	Compound			07.12.2020 01:01:34	744640	-67.82439
4	1	ETECS02 TF1_11	A	4	SW218076-3	3.287581	SW199090-3	30	Compound			07.12.2020 01:01:34	750320	-67.57896
5	1	ETECS02 TF1_11	A	5	SW218076-3	1.429383	SW199090-3	30	Compound			07.12.2020 01:01:34	789640	-65.87997
6	1	ETECS02 TF1_11	A	6	SW218076-3	0.6214709	SW199090-3	30	Compound			07.12.2020 01:01:34	740840	-67.98859
7	1	ETECS02 TF1_11	A	7	SW218076-3	0.2702048	SW199090-3	30	Compound			07.12.2020 01:01:34	779400	-66.32243
8	1	ETECS02 TF1_11	A	8	SW218076-3	0	SW199090-3	30	Compound			07.12.2020 01:01:34	786600	-66.01132
9	1	ETECS02 TF1_11	A	9	SW218076-3	40	SW337296-1	50	Compound			07.12.2020 01:01:34	436360	-81.14506
10	1	ETECS02 TF1_11	A	10	SW218076-3	17.3913	SW337296-1	50	Compound			07.12.2020 01:01:34	646280	-72.07449
11	1	ETECS02 TF1_11	A	11	SW218076-3	7.561437	SW337296-1	50	Compound			07.12.2020 01:01:34	739320	-68.05427
12	1	ETECS02 TF1_11	A	12	SW218076-3	3.287581	SW337296-1	50	Compound			07.12.2020 01:01:34	766680	-66.87206
13	1	ETECS02 TF1_11	A	13	SW218076-3	1.429383	SW337296-1	50	Compound			07.12.2020 01:01:34	767240	-66.84785
14	1	ETECS02 TF1_11	A	14	SW218076-3	0.6214709	SW337296-1	50	Compound			07.12.2020 01:01:34	797320	-65.54811
15	1	ETECS02 TF1_11	A	15	SW218076-3	0.2702048	SW337296-1	50	Compound			07.12.2020 01:01:34	842760	-63.58467
16	1	ETECS02 TF1_11	A	16	SW218076-3	0	SW337296-1	50	Compound			07.12.2020 01:01:34	774960	-66.51428
17	1	ETECS02 TF1_11	A	17	SW198601-4	0.01	SW198601-4	0.01	Compound			07.12.2020 01:01:34	1163960	-49.70574
18	1	ETECS02 TF1_11	A	18	SW198601-4	0.007142857	SW198601-4	0.01	Compound			07.12.2020 01:01:34	1088720	-52.95683
19	1	ETECS02 TF1_11	A	19	SW198601-4	0.005102041	SW198601-4	0.01	Compound			07.12.2020 01:01:34	1082520	-53.22473
20	1	ETECS02 TF1_11	A	20	SW198601-4	0.003644315	SW198601-4	0.01	Compound			07.12.2020 01:01:34	1173920	-49.27538
21	1	ETECS02 TF1_11	A	21	SW198601-4	0.002603082	SW198601-4	0.01	Compound			07.12.2020 01:01:34	1214120	-47.53835
22	1	ETECS02 TF1_11	A	22	SW198601-4	0.001859344	SW198601-4	0.01	Compound			07.12.2020 01:01:34	1240880	-46.38206
23	1	ETECS02 TF1_11	A	23	SW198601-4	0.001328103	SW198601-4	0.01	Compound			07.12.2020 01:01:34	1091760	-52.82548
24	1	ETECS02 TF1_11	A	24	SW198601-4	0	SW198601-4	0.01	Compound			07.12.2020 01:01:34	1100960	-52.42795
25	1	ETECS02 TF1_11	B	1	SW218076-3	40	SW199090-3	15	Compound			07.12.2020 01:01:34	706120	-69.48883
26	1	ETECS02 TF1_11	B	2	SW218076-3	17.3913	SW199090-3	15	Compound			07.12.2020 01:01:34	701320	-69.69624
27	1	ETECS02 TF1_11	B	3	SW218076-3	7.561437	SW199090-3	15	Compound			07.12.2020 01:01:34	722080	-68.7992
28	1	ETECS02 TF1_11	B	4	SW218076-3	3.287581	SW199090-3	15	Compound			07.12.2020 01:01:34	737080	-68.15106
29	1	ETECS02 TF1_11	B	5	SW218076-3	1.429383	SW199090-3	15	Compound			07.12.2020 01:01:34	772760	-66.60934
30	1	ETECS02 TF1_11	B	6	SW218076-3	0.6214709	SW199090-3	15	Compound			07.12.2020 01:01:34	793880	-65.69675
31	1	ETECS02 TF1_11	B	7	SW218076-3	0.2702048	SW199090-3	15	Compound			07.12.2020 01:01:34	786480	-66.0165
32	1	ETECS02 TF1_11	B	8	SW218076-3	0	SW199090-3	15	Compound			07.12.2020 01:01:34	790480	-65.84367
33	1	ETECS02 TF1_11	B	9	SW218076-3	40	SW337296-1	33.33333	Compound			07.12.2020 01:01:34	584000	-74.76559
34	1	ETECS02 TF1_11	B	10	SW218076-3	17.3913	SW337296-1	33.33333	Compound			07.12.2020 01:01:34	914600	-60.48049
35	1	ETECS02 TF1_11	B	11	SW218076-3	7.561437	SW337296-1	33.33333	Compound			07.12.2020 01:01:34	1063680	-54.0388
36	1	ETECS02 TF1_11	B	12	SW218076-3	3.287581	SW337296-1	33.33333	Compound			07.12.2020 01:01:34	974080	-57.91038
37	1	ETECS02 TF1_11	B	13	SW218076-3	1.429383	SW337296-1	33.33333	Compound			07.12.2020 01:01:34	976400	-57.81013
38	1	ETECS02 TF1_11	B	14	SW218076-3	0.6214709	SW337296-1	33.33333	Compound			07.12.2020 01:01:34	1076160	-53.49955
39	1	ETECS02 TF1_11	B	15	SW218076-3	0.2702048	SW337296-1	33.33333	Compound			07.12.2020 01:01:34	998320	-56.86298
40	1	ETECS02 TF1_11	B	16	SW218076-3	0	SW337296-1	33.33333	Compound			07.12.2020 01:01:34	1100200	-52.46078
41	1	ETECS02 TF1_11	B	17	SW198601-4	0.01	SW198601-4	0.007142857	Compound			07.12.2020 01:01:34	1214880	-47.50551
42	1	ETECS02 TF1_11	B	18	SW198601-4	0.007142857	SW198601-4	0.007142857	Compound			07.12.2020 01:01:34	1207560	-47.8218
