Index	Plate	Plate ID	Row	Column	Compound A	Conc. A [uM]	Compound B	Conc. B [uM]	Well Type	Masked	Well Tags	Timestamp	Raw	Normalized
3866	11	ETECS03 FKH1_11	B	2	SW196654-6	50	SW196654-6	50	Compound			21.09.2021 16:43:01	5920	-98.59576
3867	11	ETECS03 FKH1_11	B	3	SW196654-6	28.57143	SW196654-6	50	Compound			21.09.2021 16:43:01	25160	-94.03197
3868	11	ETECS03 FKH1_11	B	4	SW196654-6	16.32653	SW196654-6	50	Compound			21.09.2021 16:43:01	63880	-84.84747
3869	11	ETECS03 FKH1_11	B	5	SW196654-6	9.329446	SW196654-6	50	Compound			21.09.2021 16:43:01	74840	-82.24773
3870	11	ETECS03 FKH1_11	B	6	SW196654-6	5.331112	SW196654-6	50	Compound			21.09.2021 16:43:01	92080	-78.15836
3871	11	ETECS03 FKH1_11	B	7	SW196654-6	3.04635	SW196654-6	50	Compound			21.09.2021 16:43:01	85000	-79.83775
3872	11	ETECS03 FKH1_11	B	8	SW196654-6	1.740771	SW196654-6	50	Compound			21.09.2021 16:43:01	83640	-80.16035
3873	11	ETECS03 FKH1_11	B	9	SW196654-6	0.9947264	SW196654-6	50	Compound			21.09.2021 16:43:01	85960	-79.61004
3874	11	ETECS03 FKH1_11	B	10	SW196654-6	0.5684151	SW196654-6	50	Compound			21.09.2021 16:43:01	91320	-78.33863
3875	11	ETECS03 FKH1_11	B	11	SW196654-6	0.3248086	SW196654-6	50	Compound			21.09.2021 16:43:01	83840	-80.11291
3876	11	ETECS03 FKH1_11	B	12	SW196654-6	0	SW196654-6	50	Compound			21.09.2021 16:43:01	81120	-80.75809
3890	11	ETECS03 FKH1_11	C	2	SW196654-6	50	SW196654-6	28.57143	Compound			21.09.2021 16:43:01	23000	-94.54433
3891	11	ETECS03 FKH1_11	C	3	SW196654-6	28.57143	SW196654-6	28.57143	Compound			21.09.2021 16:43:01	72360	-82.836
3892	11	ETECS03 FKH1_11	C	4	SW196654-6	16.32653	SW196654-6	28.57143	Compound			21.09.2021 16:43:01	83640	-80.16035
3893	11	ETECS03 FKH1_11	C	5	SW196654-6	9.329446	SW196654-6	28.57143	Compound			21.09.2021 16:43:01	88320	-79.05024
3894	11	ETECS03 FKH1_11	C	6	SW196654-6	5.331112	SW196654-6	28.57143	Compound			21.09.2021 16:43:01	88400	-79.03126
3895	11	ETECS03 FKH1_11	C	7	SW196654-6	3.04635	SW196654-6	28.57143	Compound			21.09.2021 16:43:01	109760	-73.96461
3896	11	ETECS03 FKH1_11	C	8	SW196654-6	1.740771	SW196654-6	28.57143	Compound			21.09.2021 16:43:01	125040	-70.34015
3897	11	ETECS03 FKH1_11	C	9	SW196654-6	0.9947264	SW196654-6	28.57143	Compound			21.09.2021 16:43:01	140280	-66.72517
3898	11	ETECS03 FKH1_11	C	10	SW196654-6	0.5684151	SW196654-6	28.57143	Compound			21.09.2021 16:43:01	137000	-67.5032
3899	11	ETECS03 FKH1_11	C	11	SW196654-6	0.3248086	SW196654-6	28.57143	Compound			21.09.2021 16:43:01	132640	-68.53741
3900	11	ETECS03 FKH1_11	C	12	SW196654-6	0	SW196654-6	28.57143	Compound			21.09.2021 16:43:01	128080	-69.61905
3914	11	ETECS03 FKH1_11	D	2	SW196654-6	50	SW196654-6	16.32653	Compound			21.09.2021 16:43:01	59520	-85.88168
3915	11	ETECS03 FKH1_11	D	3	SW196654-6	28.57143	SW196654-6	16.32653	Compound			21.09.2021 16:43:01	90920	-78.43351
3916	11	ETECS03 FKH1_11	D	4	SW196654-6	16.32653	SW196654-6	16.32653	Compound			21.09.2021 16:43:01	121720	-71.12766
3917	11	ETECS03 FKH1_11	D	5	SW196654-6	9.329446	SW196654-6	16.32653	Compound			21.09.2021 16:43:01	170840	-59.47625
3918	11	ETECS03 FKH1_11	D	6	SW196654-6	5.331112	SW196654-6	16.32653	Compound			21.09.2021 16:43:01	193920	-54.00161
3919	11	ETECS03 FKH1_11	D	7	SW196654-6	3.04635	SW196654-6	16.32653	Compound			21.09.2021 16:43:01	214000	-49.23858
3920	11	ETECS03 FKH1_11	D	8	SW196654-6	1.740771	SW196654-6	16.32653	Compound			21.09.2021 16:43:01	208240	-50.60487
3921	11	ETECS03 FKH1_11	D	9	SW196654-6	0.9947264	SW196654-6	16.32653	Compound			21.09.2021 16:43:01	234120	-44.46606
3922	11	ETECS03 FKH1_11	D	10	SW196654-6	0.5684151	SW196654-6	16.32653	Compound			21.09.2021 16:43:01	210160	-50.14944
3923	11	ETECS03 FKH1_11	D	11	SW196654-6	0.3248086	SW196654-6	16.32653	Compound			21.09.2021 16:43:01	244000	-42.12249
3924	11	ETECS03 FKH1_11	D	12	SW196654-6	0	SW196654-6	16.32653	Compound			21.09.2021 16:43:01	205840	-51.17415
3938	11	ETECS03 FKH1_11	E	2	SW196654-6	50	SW196654-6	9.329446	Compound			21.09.2021 16:43:01	73000	-82.68419
3939	11	ETECS03 FKH1_11	E	3	SW196654-6	28.57143	SW196654-6	9.329446	Compound			21.09.2021 16:43:01	95880	-77.25698
3940	11	ETECS03 FKH1_11	E	4	SW196654-6	16.32653	SW196654-6	9.329446	Compound			21.09.2021 16:43:01	142480	-66.20333
3941	11	ETECS03 FKH1_11	E	5	SW196654-6	9.329446	SW196654-6	9.329446	Compound			21.09.2021 16:43:01	227320	-46.07904
3942	11	ETECS03 FKH1_11	E	6	SW196654-6	5.331112	SW196654-6	9.329446	Compound			21.09.2021 16:43:01	224760	-46.68628
3943	11	ETECS03 FKH1_11	E	7	SW196654-6	3.04635	SW196654-6	9.329446	Compound			21.09.2021 16:43:01	261880	-37.8813
3944	11	ETECS03 FKH1_11	E	8	SW196654-6	1.740771	SW196654-6	9.329446	Compound			21.09.2021 16:43:01	293040	-30.49006
3945	11	ETECS03 FKH1_11	E	9	SW196654-6	0.9947264	SW196654-6	9.329446	Compound			21.09.2021 16:43:01	259760	-38.38417
