Index	Plate	Plate ID	Row	Column	Compound A	Conc. A [uM]	Compound B	Conc. B [uM]	Well Type	Plate Mask	Masked	Well Tags	Timestamp	Raw	Normalized
1	1	ETECS03 IDH2-1	A	1		-		-	Compound				1/25/2022 13:32	1273760	30.19871
2	1	ETECS03 IDH2-1	A	2		-		-	Compound				1/25/2022 13:32	1870960	91.24213
3	1	ETECS03 IDH2-1	A	3		-		-	Compound				1/25/2022 13:32	1360240	39.03835
4	1	ETECS03 IDH2-1	A	4		-		-	Compound				1/25/2022 13:32	1199920	22.65108
5	1	ETECS03 IDH2-1	A	5		-		-	Compound				1/25/2022 13:32	1189000	21.53488
6	1	ETECS03 IDH2-1	A	6		-		-	Compound				1/25/2022 13:32	618240	-36.80595
7	1	ETECS03 IDH2-1	A	7		-		-	Compound				1/25/2022 13:32	542400	-44.55802
8	1	ETECS03 IDH2-1	A	8		-		-	Compound				1/25/2022 13:32	1000480	2.265108
9	1	ETECS03 IDH2-1	A	9		-		-	Compound				1/25/2022 13:32	1614520	65.02985
10	1	ETECS03 IDH2-1	A	10		-		-	Compound				1/25/2022 13:32	1813680	85.38719
11	1	ETECS03 IDH2-1	A	11		-		-	Compound				1/25/2022 13:32	2405640	145.895
12	1	ETECS03 IDH2-1	A	12		-		-	Compound				1/25/2022 13:32	2900400	196.4674
13	1	ETECS03 IDH2-1	A	13		-		-	Compound				1/25/2022 13:32	1940800	98.3809
14	1	ETECS03 IDH2-1	A	14		-		-	Compound				1/25/2022 13:32	1703880	74.16387
15	1	ETECS03 IDH2-1	A	15		-		-	Compound				1/25/2022 13:32	1865240	90.65746
16	1	ETECS03 IDH2-1	A	16		-		-	Compound				1/25/2022 13:32	1627080	66.31368
17	1	ETECS03 IDH2-1	A	17		-		-	Compound				1/25/2022 13:32	1427680	45.9318
18	1	ETECS03 IDH2-1	A	18		-		-	Compound				1/25/2022 13:32	1488280	52.12609
19	1	ETECS03 IDH2-1	A	19		-		-	Compound				1/25/2022 13:32	1537480	57.15512
20	1	ETECS03 IDH2-1	A	20		-		-	Compound				1/25/2022 13:32	1386760	41.74912
