Index	Plate	Plate ID	Row	Column	Compound A	Conc. A [uM]	Compound B	Conc. B [uM]	Well Type	Masked	Well Tags	Timestamp	Raw	Normalized
1	1	ETECS03 Kasumi1_1	A	1		-		-	Compound			26.04.2021 10:48:21	2735680	-2.779772
2	1	ETECS03 Kasumi1_1	A	2		-		-	Compound			26.04.2021 10:48:21	2242400	-20.30989
3	1	ETECS03 Kasumi1_1	A	3		-		-	Compound			26.04.2021 10:48:21	2196760	-21.93184
4	1	ETECS03 Kasumi1_1	A	4		-		-	Compound			26.04.2021 10:48:21	2308200	-17.9715
5	1	ETECS03 Kasumi1_1	A	5		-		-	Compound			26.04.2021 10:48:21	2475280	-12.03383
6	1	ETECS03 Kasumi1_1	A	6		-		-	Compound			26.04.2021 10:48:21	2541440	-9.682647
7	1	ETECS03 Kasumi1_1	A	7		-		-	Compound			26.04.2021 10:48:21	2480440	-11.85046
8	1	ETECS03 Kasumi1_1	A	8		-		-	Compound			26.04.2021 10:48:21	2466320	-12.35225
9	1	ETECS03 Kasumi1_1	A	9		-		-	Compound			26.04.2021 10:48:21	2413920	-14.21444
10	1	ETECS03 Kasumi1_1	A	10		-		-	Compound			26.04.2021 10:48:21	2432760	-13.5449
11	1	ETECS03 Kasumi1_1	A	11		-		-	Compound			26.04.2021 10:48:21	2222760	-21.00785
12	1	ETECS03 Kasumi1_1	A	12		-		-	Compound			26.04.2021 10:48:21	2254880	-19.86638
13	1	ETECS03 Kasumi1_1	A	13		-		-	Compound			26.04.2021 10:48:21	2325080	-17.37162
14	1	ETECS03 Kasumi1_1	A	14		-		-	Compound			26.04.2021 10:48:21	2457960	-12.64935
15	1	ETECS03 Kasumi1_1	A	15		-		-	Compound			26.04.2021 10:48:21	2247760	-20.11941
16	1	ETECS03 Kasumi1_1	A	16		-		-	Compound			26.04.2021 10:48:21	2156680	-23.3562
17	1	ETECS03 Kasumi1_1	A	17		-		-	Compound			26.04.2021 10:48:21	2223040	-20.9979
18	1	ETECS03 Kasumi1_1	A	18		-		-	Compound			26.04.2021 10:48:21	2222560	-21.01496
19	1	ETECS03 Kasumi1_1	A	19		-		-	Compound			26.04.2021 10:48:21	2125680	-24.45787
20	1	ETECS03 Kasumi1_1	A	20		-		-	Compound			26.04.2021 10:48:21	1960960	-30.31167
21	1	ETECS03 Kasumi1_1	A	21		-		-	Compound			26.04.2021 10:48:21	2102960	-25.26529
22	1	ETECS03 Kasumi1_1	A	22		-		-	Compound			26.04.2021 10:48:21	1979840	-29.64071
23	1	ETECS03 Kasumi1_1	A	23		-		-	Compound			26.04.2021 10:48:21	2190960	-22.13796
24	1	ETECS03 Kasumi1_1	A	24		-		-	Compound			26.04.2021 10:48:21	2070600	-26.41529
25	1	ETECS03 Kasumi1_1	B	1		-		-	Compound			26.04.2021 10:48:21	2062240	-26.71239
26	1	ETECS03 Kasumi1_1	B	2	SW198601-4	0.75	SW197795-10	1.5	Compound			26.04.2021 10:48:21	632880	-77.5088
27	1	ETECS03 Kasumi1_1	B	3	SW198601-4	0.225	SW197795-10	1.5	Compound			26.04.2021 10:48:21	644640	-77.09087
28	1	ETECS03 Kasumi1_1	B	4	SW198601-4	0.113	SW197795-10	1.5	Compound			26.04.2021 10:48:21	643160	-77.14346
29	1	ETECS03 Kasumi1_1	B	5	SW198601-4	0.0563	SW197795-10	1.5	Compound			26.04.2021 10:48:21	715840	-74.56057
30	1	ETECS03 Kasumi1_1	B	6	SW198601-4	0.0281	SW197795-10	1.5	Compound			26.04.2021 10:48:21	787880	-72.00043
31	1	ETECS03 Kasumi1_1	B	7	SW198601-4	0.0141	SW197795-10	1.5	Compound			26.04.2021 10:48:21	1044720	-62.87288
32	1	ETECS03 Kasumi1_1	B	8	SW198601-4	0.00703	SW197795-10	1.5	Compound			26.04.2021 10:48:21	1184800	-57.89474
33	1	ETECS03 Kasumi1_1	B	9	SW198601-4	0.00352	SW197795-10	1.5	Compound			26.04.2021 10:48:21	826840	-70.61587
34	1	ETECS03 Kasumi1_1	B	10	SW198601-4	0.00176	SW197795-10	1.5	Compound			26.04.2021 10:48:21	831240	-70.4595
35	1	ETECS03 Kasumi1_1	B	11	SW198601-4	0.000879	SW197795-10	1.5	Compound			26.04.2021 10:48:21	812720	-71.11767
36	1	ETECS03 Kasumi1_1	B	12	SW198601-4	0	SW197795-10	1.5	Compound			26.04.2021 10:48:21	825920	-70.64857
37	1	ETECS03 Kasumi1_1	B	13	SW198601-4	0.75	SW219672-2	20	Compound			26.04.2021 10:48:21	29600	-98.94807
38	1	ETECS03 Kasumi1_1	B	14	SW198601-4	0.225	SW219672-2	20	Compound			26.04.2021 10:48:21	25240	-99.10302
39	1	ETECS03 Kasumi1_1	B	15	SW198601-4	0.113	SW219672-2	20	Compound			26.04.2021 10:48:21	24320	-99.13572
