drug,FKH1,HL60,IDH2,K562,Kasumi1,TF1
2CdA,,0.07433377861450063,0.07132646810134571,0.10089053952056608,,0.04442014825188113
6MP,,,,,,0.08230745494703161
6TG,0.03116790349713954,0.06355505778350905,0.037349292018150945,0.08177110828512547,,0.0625379365701409
ABT199,0.07215204613539458,0.36961885611130074,0.020935272525148634,0.045277032159829436,0.37631587741130645,0.01880990406913128
AG221,0.04068627174199608,0.06925923460532786,0.06260126793185396,0.058761677254632674,0.05106920096821341,0.0481281248343298
ATRA,,0.3771829354122571,,0.10320923000866014,0.39711552610577855,
AZC,0.01982554641774728,0.05256363591396557,0.02347261048071328,0.19261988733523935,0.059153300690037915,0.047009137484373256
AraC,0.027109101622028224,0.09127818068468875,0.1634165529200794,0.1471432983136901,0.11286822403800481,0.0741595527250205
DAC,0.09978090597193408,0.13790589552511312,0.15048539160479257,0.20558609778817374,0.19058943242955123,0.04262382421501674
DAU,0.05297962850298371,0.0662109709193737,0.06810982508229758,4.817810611826209,0.07879258311250295,0.05091254117713059
FLD,0.0020156163406464997,0.07998059529819122,0.06315720572990857,5.03286297519478,0.057530239572871726,0.059254138561287285
IDA,0.08120592371736642,0.043948195810223974,0.09319825955820517,0.13626474489058357,0.15703433778222925,0.06034873436092926
MTX,,,,0.06462495307462288,0.06490673235624747,0.018210804423855628
Mito,0.08458932653462702,0.11319348995657319,0.1185903822783288,0.20618866803725078,0.07394935444321996,0.09579622159986678
VP16,0.05300457330113191,0.15719484962557598,0.10731215517057685,0.2168170253674056,0.07716304920469191,0.14034249920619568
