drug,FKH1,HL60,IDH2,K562,Kasumi1,TF1
2CdA,,0.022499786567273528,0.13534426447201475,2.178914484862136,,5.362249721304896
6MP,,,,,,3.7643411221143226
6TG,11.273215479988213,5.62257290094475,5.971380478778969,1.3194915307037887,,2.1265987729817697
ABT199,0.04858106835767491,0.17867337728579855,10.532715079563609,12.092849509958699,21.514754804628218,13.433914970843468
AG221,62.00528984054173,19.906144010769196,29.564095857057914,41.03081875195221,31.504092428844757,30.287473847911777
ATRA,,0.021352714726727468,,43.481284408595506,205.07330685096593,
AZC,22.88647536606933,3.5871155459405877,18.402639912824412,6.556252644975785,6.251902723856501,23.93236252984266
AraC,0.0064041301994534235,0.09616449898352439,0.8647432337539287,1.0246599719849434,0.21772892876843294,2.0249530953631414
DAC,18.05447547957086,1.9613846609893695,10.117631693382137,6.844064392073885,6.356265189985811,30.331161029249305
DAU,0.019521065033299874,0.005664331030352329,0.2543891568478872,1.4302655879924344,0.024128938879869603,0.3235127849751933
FLD,0.271919192910398,2.687467053202721,11.198011941216434,1275.9420511393037,10.2012706162971,0.04956836846197045
IDA,0.022444676133937014,0.0021570292179566037,0.08707954681238668,0.010364061835385487,0.003415044796955853,0.039898662502859485
MTX,,,,0.010130218095262149,0.04967410999456569,0.011318496716299482
Mito,0.005845452060096061,0.002964859854547638,0.1455903713095936,0.069096097293574,0.015193982803102711,0.17745038318091075
VP16,1.063189385794266,0.3103628164822058,10.356841299241276,2.5769220318565433,0.5884475278553731,9.156286506817313
