,FKH1,HL60,IDH2,K562,Kasumi1,TF1
2CdA,,0.0225,0.1353,2.1789,,5.3622
6MP,,,,,,3.7643
6TG,11.2732,5.6226,5.9714,1.3195,,2.1266
ABT199,0.0486,0.1787,10.5327,12.0928,21.5148,13.4339
AG221,62.0053,19.9061,29.5641,41.0308,31.5041,30.2875
ATRA,,0.0214,,43.4813,205.0733,
AZC,22.8865,3.5871,18.4026,6.5563,6.2519,23.9324
AraC,0.0064,0.0962,0.8647,1.0247,0.2177,2.0250
DAC,18.0545,1.9614,10.1176,6.8441,6.3563,30.3312
DAU,0.0195,0.0057,0.2544,1.4303,0.0241,0.3235
FLD,0.2719,2.6875,11.1980,1275.9421,10.2013,0.0496
IDA,0.0224,0.0022,0.0871,0.0104,0.0034,0.0399
MTX,,,,0.0101,0.0497,0.0113
Mito,0.0058,0.0030,0.1456,0.0691,0.0152,0.1775
VP16,1.0632,0.3104,10.3568,2.5769,0.5884,9.1563
